Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
11,99,11-99,katulampa_air_lag19,110.0,11-173,11-174,11-174,4087.76562,424.0,
11,100,11-100,hour_sin,0.258819044,11-175,11-176,11-176,34200.7188,12.0,
11,101,11-101,katulampa_air_lag3,15.0,11-177,11-178,11-178,4162.26562,57.0,
11,102,11-102,hour_cos,-0.258819044,11-179,11-180,11-180,510.796875,166.0,
11,103,11-103,manggarai_air_lag2,765.0,11-181,11-182,11-182,1033.51562,152.0,
11,104,11-104,manggarai_air_lag4,612.5,11-183,11-184,11-184,448.28125,160.0,
11,105,11-105,time_index,20187.0,11-185,11-186,11-186,839.609375,77.0,
11,106,11-106,manggarai_air_lag7,770.0,11-187,11-188,11-188,951.5,128.0,
11,107,11-107,Leaf,,,,,2.96699119,30.0,
11,108,11-108,manggarai_air_lag12,585.0,11-189,11-190,11-190,8.390625,100.0,
11,109,11-109,Leaf,,,,,-2.18377161,1591.0,
11,110,11-110,Leaf,,,,,-1.58526897,100.0,
11,111,11-111,Leaf,,,,,-1.28087163,8.0,
11,112,11-112,Leaf,,,,,1.10757375,7.0,
11,113,11-113,Leaf,,,,,-20.1989346,1.0,
11,114,11-114,Leaf,,,,,-1.33689272,1.0,
11,115,11-115,Leaf,,,,,-1.71674192,4.0,
11,116,11-116,Leaf,,,,,1.559021,1.0,
11,117,11-117,Leaf,,,,,-2.03310156,183.0,
11,118,11-118,Leaf,,,,,-1.55197501,1374.0,
11,119,11-119,Leaf,,,,,-1.29421449,1864.0,
11,120,11-120,Leaf,,,,,1.17922676,5.0,
11,121,11-121,Leaf,,,,,1.30797315,18.0,
11,122,11-122,Leaf,,,,,-0.936782479,15.0,
11,123,11-123,Leaf,,,,,0.0983345062,7.0,
11,124,11-124,Leaf,,,,,0.69439292,5.0,
11,125,11-125,Leaf,,,,,-0.867120862,58.0,
11,126,11-126,Leaf,,,,,0.833206177,1.0,
11,127,11-127,Leaf,,,,,-1.09946311,767.0,
11,128,11-128,Leaf,,,,,-0.901616037,3197.0,
11,129,11-129,Leaf,,,,,-0.286847651,25.0,
11,130,11-130,Leaf,,,,,1.88909304,3.0,
11,131,11-131,Leaf,,,,,-0.209842369,105.0,
11,132,11-132,Leaf,,,,,0.806135356,8.0,
11,133,11-133,Leaf,,,,,-0.612207055,1661.0,
11,134,11-134,Leaf,,,,,-1.33931375,54.0,
11,135,11-135,Leaf,,,,,0.269402027,34.0,
11,136,11-136,Leaf,,,,,1.42438459,23.0,
11,137,11-137,Leaf,,,,,-1.89015448,29.0,
11,138,11-138,Leaf,,,,,-0.301261634,2082.0,
11,139,11-139,Leaf,,,,,-0.449453115,4.0,
11,140,11-140,Leaf,,,,,0.470916748,5.0,
11,141,11-141,Leaf,,,,,1.00014913,203.0,
11,142,11-142,Leaf,,,,,-0.475125551,6.0,
11,143,11-143,Leaf,,,,,0.90062207,13.0,
11,144,11-144,Leaf,,,,,-25.868763,1.0,
11,145,11-145,Leaf,,,,,-3.41635323,2.0,
11,146,11-146,Leaf,,,,,-0.0122699859,1408.0,
11,147,11-147,Leaf,,,,,0.324297696,1867.0,
11,148,11-148,Leaf,,,,,-0.0412923731,262.0,
11,149,11-149,Leaf,,,,,1.47977817,92.0,
11,150,11-150,Leaf,,,,,3.94392705,1.0,
11,151,11-151,Leaf,,,,,0.611778915,4324.0,
11,152,11-152,Leaf,,,,,-1.91772711,14.0,
11,153,11-153,Leaf,,,,,-19.4561024,1.0,
11,154,11-154,Leaf,,,,,0.34128052,4.0,
11,155,11-155,Leaf,,,,,2.11721206,10.0,
11,156,11-156,Leaf,,,,,4.59842968,6.0,
11,157,11-157,Leaf,,,,,1.46740818,156.0,
11,158,11-158,Leaf,,,,,2.28571296,66.0,
11,159,11-159,Leaf,,,,,0.873865426,1332.0,
11,160,11-160,Leaf,,,,,-1.09842205,19.0,
11,161,11-161,Leaf,,,,,1.30527389,593.0,
11,162,11-162,Leaf,,,,,0.657880723,113.0,
11,163,11-163,Leaf,,,,,1.72183061,26.0,
11,164,11-164,Leaf,,,,,-1.14515388,5.0,
11,165,11-165,Leaf,,,,,3.59587336,45.0,
11,166,11-166,Leaf,,,,,2.41242623,148.0,
11,167,11-167,Leaf,,,,,0.573941171,38.0,
11,168,11-168,Leaf,,,,,1.5626986,1377.0,
11,169,11-169,Leaf,,,,,1.76744747,9.0,
11,170,11-170,Leaf,,,,,-22.0360317,1.0,
11,171,11-171,Leaf,,,,,2.69343591,404.0,
11,172,11-172,Leaf,,,,,1.07818854,19.0,
11,173,11-173,Leaf,,,,,2.02674603,413.0,
11,174,11-174,Leaf,,,,,0.0673299134,11.0,
11,175,11-175,Leaf,,,,,1.63657022,11.0,
11,176,11-176,Leaf,,,,,-12.4912643,1.0,
11,177,11-177,Leaf,,,,,2.35438418,12.0,
11,178,11-178,Leaf,,,,,4.78762627,45.0,
11,179,11-179,Leaf,,,,,2.98249531,54.0,
11,180,11-180,Leaf,,,,,3.66042447,112.0,
11,181,11-181,Leaf,,,,,2.48073435,145.0,
11,182,11-182,Leaf,,,,,1.02120209,7.0,
11,183,11-183,Leaf,,,,,1.02139699,2.0,
11,184,11-184,Leaf,,,,,3.28193092,158.0,
11,185,11-185,Leaf,,,,,4.52713919,49.0,
11,186,11-186,Leaf,,,,,3.35113716,28.0,
11,187,11-187,Leaf,,,,,5.15348864,127.0,
11,188,11-188,Leaf,,,,,0.901391625,1.0,
11,189,11-189,Leaf,,,,,1.18059087,1.0,
11,190,11-190,Leaf,,,,,4.06422186,99.0,
12,0,12-0,manggarai_air_lag1,640.0,12-1,12-2,12-2,2441156.0,27261.0,
12,1,12-1,manggarai_air_lag1,598.0,12-3,12-4,12-4,311483.25,14831.0,
12,2,12-2,manggarai_air_lag1,700.0,12-5,12-6,12-6,648881.5,12430.0,
12,3,12-3,manggarai_air_lag20,575.0,12-7,12-8,12-8,67003.375,6027.0,
12,4,12-4,manggarai_air_lag1,620.0,12-9,12-10,12-10,62829.3281,8804.0,
12,5,12-5,manggarai_air_lag1,670.0,12-11,12-12,12-12,147293.812,10795.0,
12,6,12-6,manggarai_air_lag1,732.5,12-13,12-14,12-14,103844.0,1635.0,
12,7,12-7,manggarai_air_lag20,20.0,12-15,12-16,12-16,51402.0625,1710.0,
12,8,12-8,manggarai_air_lag1,587.5,12-17,12-18,12-18,10812.375,4317.0,
12,9,12-9,manggarai_air_lag1,602.5,12-19,12-20,12-20,10521.375,5100.0,
12,10,12-10,manggarai_air_lag4,570.0,12-21,12-22,12-22,16446.4023,3704.0,
12,11,12-11,manggarai_air_lag1,650.0,12-23,12-24,12-24,21985.9844,8260.0,
12,12,12-12,depok_air_lag6,155.0,12-25,12-26,12-26,16757.3125,2535.0,
12,13,12-13,depok_air_lag12,135.0,12-27,12-28,12-28,10983.0625,1022.0,
12,14,12-14,manggarai_air_lag1,780.0,12-29,12-30,12-30,28191.875,613.0,
12,15,12-15,Leaf,,,,,-18.0385475,1.0,
12,16,12-16,manggarai_cuaca_lag4_hujan,1.0,12-31,12-32,12-32,9200.25,1709.0,
12,17,12-17,manggarai_air_lag3,612.5,12-33,12-34,12-34,12845.1875,1633.0,
12,18,12-18,depok_air_lag6,165.0,12-35,12-36,12-36,4053.40625,2684.0,
12,19,12-19,dayofyear_sin,-0.999832988,12-37,12-38,12-38,2872.45312,2656.0,
12,20,12-20,depok_air_lag6,145.0,12-39,12-40,12-40,8639.5625,2444.0,
12,21,12-21,manggarai_air_lag3,570.0,12-41,12-42,12-42,61861.5547,7.0,
