Model,Semua Variabel Signifikan,P-value Ljung Box,White Noise?,P-value Lillie Test,Distribusi Normal?,Training Time (s),RMSE Training,RMSE Testing,MAE Training,MAE Testing,MAPE Training,MAPE Testing,R² Training,R² Testing
"SARIMA(2, 0, 10)x(1, 0, 1, 24)",Tidak,0.999994,Ya,0.001000,Tidak,832.25,19.8444,77.9811,5.8128,72.8569,0.02,12.49,0.8089,-6.2666
"ARIMA(2, 0, 1)",Ya,0.000000,Tidak,0.001000,Tidak,12.51,19.7452,40.1960,6.0238,31.0203,0.02,5.86,0.8108,-0.9307
"SARIMA(2, 0, 1)x(1, 0, 0, 24)",Ya,0.000000,Tidak,0.001000,Tidak,69.34,20.1969,71.4631,5.4051,58.3397,0.02,10.07,0.8020,-5.1026
"SARIMA(2, 0, 1)x(0, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,14.76,20.1970,71.6987,5.4067,59.2359,0.02,10.19,0.8020,-5.1429
"SARIMA(2, 0, 1)x(1, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,91.62,20.1533,104.6167,5.8055,98.5772,0.02,16.42,0.8029,-12.0783
"ARIMA(2, 0, 2)",Ya,0.000000,Tidak,0.001000,Tidak,31.75,19.7434,40.2179,6.0289,31.0438,0.02,5.86,0.8108,-0.9328
"SARIMA(2, 0, 2)x(1, 0, 0, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,130.73,20.2077,153.5266,5.4156,150.7831,0.02,24.55,0.8018,-27.1655
"SARIMA(2, 0, 2)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,21.43,20.1969,71.6859,5.4075,59.1854,0.02,10.19,0.8020,-5.1407
"SARIMA(2, 0, 2)x(1, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,248.12,20.1540,81.1803,5.8153,67.7665,0.02,11.63,0.8029,-6.8750
"ARIMA(2, 0, 3)",Tidak,0.000000,Tidak,0.001000,Tidak,15.35,19.7438,40.2192,6.0265,31.0451,0.02,5.86,0.8108,-0.9329
"SARIMA(2, 0, 3)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,195.81,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMA(2, 0, 3)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,98.27,19.9501,107.0460,5.5771,88.6480,0.02,14.50,0.8069,-12.6928
"SARIMA(2, 0, 3)x(1, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,156.72,19.9026,54.4875,5.8705,44.1773,0.02,7.85,0.8078,-2.5477
"ARIMA(2, 0, 4)",Ya,0.000239,Tidak,0.001000,Tidak,74.61,19.5747,34.9756,5.7835,21.3185,0.02,4.43,0.8141,-0.4618
